Name	USst	Fst	Dst	USb	Fb	Db	Alt	Cash	
AB	45	3	17	35	0	0	0	0
AT	28	6	9	30	3	0	24	0
BoA	53	9	3	28	1	1	0	5
BNY	26	9	10	30	0	0	25	0
Bess	19	9	3	20	4	5	34	6
BA	29	13	12	19	3	0	20	4
CPB	18	27	3	18	16	1	17	0
Const	20	10	10	25	5	0	30	0
DB	29	14	6	29	2	4	17	2
Fide	40	14	4	35	2	0	6	0
FT	40	10	13	31	0	0	5	2
FTB	28	9	7	36	0	0	15	5
GS	13	8	5	18	8	0	45	5
Glen	35	12	5	18	2	3	23	2
HPB	54	10	4	18	0	0	15	0
HC	25	5	10	40	5	0	15	0
JM	47	4	4	26	4	5	10	0
JPM	20	9	5	22	3	0	38	3
LM	55	3	7	17	0	0	15	3
NT	24	8	5	31	0	0	32	0
PNC	40	8	2	30	0	0	20	0
CS	29	20	5	29	1	0	11	5
ST	26	6	3	25	7	0	30	3
UBS	32	10	7	27	6	0	17	2
USB	43	16	7	21	3	0	10	0
WF	27	13	5	21	4	2	28	0
WT	27	11	4	31	1	0	27	0
